instance,algo,param_set,seed,HV,IGD,time,evals
S,NSGA2,1,1,21578.804416746734,,12.534773588180542,
S,NSGA2,1,2,13313.230414932652,,12.504555225372314,
S,NSGA2,1,3,34258.01994150514,,12.527613878250122,
S,NSGA2,1,4,27155.84078138539,,12.460564613342285,
S,NSGA2,1,5,23509.453041060773,,12.461288213729858,
S,NSGA2,1,6,28571.415639372553,,12.555370092391968,
S,NSGA2,1,7,13588.086890368202,,12.589889526367188,
S,NSGA2,1,8,22013.668616392526,,12.464844465255737,
S,NSGA2,1,9,29599.00157230838,,12.451236963272095,
S,NSGA2,1,10,22122.770854150294,,12.510537385940552,
S,NSGA2,1,11,17272.919034699717,,12.518621444702148,
S,NSGA2,1,12,18491.332031322003,,12.499107360839844,
S,NSGA2,1,13,25655.048941883517,,12.452899932861328,
S,NSGA2,1,14,21106.608109506396,,12.560341119766235,
S,NSGA2,1,15,15392.864984613494,,12.498810052871704,
S,NSGA2,1,16,37973.45035197445,,12.412496566772461,
S,NSGA2,1,17,26013.65677972896,,12.417761325836182,
S,NSGA2,1,18,35305.92737068375,,12.455204248428345,
S,NSGA2,1,19,29770.21122334094,,12.417629957199097,
S,NSGA2,1,20,18625.123646612898,,12.373368263244629,
S,NSGA2,2,1,41837.02736278522,,13.874227046966553,
S,NSGA2,2,2,37050.95336681247,,17.341811418533325,
S,NSGA2,2,3,26424.837944845065,,13.972499132156372,
S,NSGA2,2,4,55249.03792392475,,13.83475923538208,
S,NSGA2,2,5,34683.93274940528,,13.79489541053772,
S,NSGA2,2,6,43310.66212131848,,13.816923379898071,
S,NSGA2,2,7,40790.885694307864,,13.805996179580688,
S,NSGA2,2,8,27581.226106119517,,13.84905195236206,
S,NSGA2,2,9,35467.21701686756,,13.935312509536743,
S,NSGA2,2,10,37232.99183529331,,13.936986684799194,
S,NSGA2,2,11,30186.260367824296,,13.897154331207275,
S,NSGA2,2,12,31787.37811197751,,13.842247486114502,
S,NSGA2,2,13,38980.088505709246,,13.890455961227417,
S,NSGA2,2,14,53474.119082783305,,13.895331859588623,
S,NSGA2,2,15,30895.655862123152,,13.861334323883057,
S,NSGA2,2,16,34821.982967364536,,13.866482257843018,
S,NSGA2,2,17,33094.238208334864,,13.875200748443604,
S,NSGA2,2,18,32832.65678886806,,13.869224309921265,
S,NSGA2,2,19,49344.43041026527,,13.864372730255127,
S,NSGA2,2,20,43839.4853349333,,13.830081462860107,
S,NSGA2,3,1,45041.544403908956,,19.51690983772278,
S,NSGA2,3,2,65258.702322078345,,19.48152232170105,
S,NSGA2,3,3,55228.97332803744,,19.647403717041016,
S,NSGA2,3,4,38786.70727256742,,19.512555837631226,
S,NSGA2,3,5,43137.904874189175,,19.586851596832275,
S,NSGA2,3,6,37950.99141854454,,19.56388020515442,
